Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales
301320,ACHESON,Freedom Cannabis,,8/30/2021,9827 279 ST,,AB,T7X 6J4,8774523760.0,No 
781463,AIRDRIE,13th Floor Cannabis,"Kolochuk, Craig Michael, Mgr
",11/4/2020,1005-401 COOPERS BLVD SW,,AB,T4B 4J3,4039601313.0,Yes
780863,AIRDRIE,Best Buds Outlet,"Sapp, Brandon Darrell, Mgr
",12/19/2019,4A-1861 MEADOWBROOK DR SE,,AB,T4A 1V3,4039801046.0,No 
781450,AIRDRIE,Bud Mart,"Bhullar, Gurdev Singh, Mgr
",4/1/2020,17-1301 8 STREET SW,,AB,T4B 0M9,5873600036.0,Yes
812450,AIRDRIE,Bud Mart,"Bhullar, Karandev Singh, Mgr
",8/30/2025,600-705 MAIN ST SW,,AB,T4B 3M2,5877009810.0,Yes
782204,AIRDRIE,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,101-400 MAIN ST NE,,AB,T4B 2N1,4039600577.0,Yes
778818,AIRDRIE,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",10/31/2019,6128-403 MACKENZIE WAY SW,,AB,T4B 3V7,4039809822.0,Yes
780989,AIRDRIE,Plantlife,"Scott, Ian Hardie, Mgr
",9/10/2019,117-1800 MARKET ST SE,,AB,T4A 0K9,5876000011.0,No 
779347,AIRDRIE,RARE Cannabis Co.,"Ballman, Ami Louise, Mgr
",7/2/2019,5-213 MAIN ST N,,AB,T4B 0R6,4039800010.0,Yes
781101,AIRDRIE,Value Buds at Sierra Springs,"Sanderson, Grant Leigh, Mgr
",12/20/2019,130-2765 MAIN ST SW,,AB,T4B 3S6,4039805403.0,No 
779333,ALBERTA BEACH,Rock Island Cannabis Inc.,"Haskell, Sandra Anne, Mgr
",8/6/2019,4925 50 AVENUE,,AB,T0E 0A0,7809242009.0,No 
302176,ALDERSYDE,Grass Monkeys Premium Craft Cannabis,,6/26/2024,450153 82 STREET E,,AB,T0L 0A0,,No 
781277,ATHABASCA,Equilibrium Cannabis,"Webster, Gerald Daniel, Mgr
",3/26/2020,103-5003 50 AVENUE,,AB,T9S 1T2,7806758805.0,No 
784553,ATHABASCA,Green Solution Cannabis,"Choi, Hea Lee, Mgr
",11/28/2022,4805 50 ST,,AB,T9S 1C8,7804044408.0,No 
781033,BANFF,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/6/2020,215    SUNDANCE MALL L09,,AB,T0L 0C0,4039850308.0,Yes
777992,BANFF,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",10/23/2019,229 BEAR STREET,,AB,T1L 1C3,4039858027.0,Yes
784745,BANFF,Value Buds Banff,"Sanderson, Grant Leigh, Mgr
",9/15/2022,203B BEAR STREET,,AB,T1L 1H1,4039859167.0,No 
781740,BARRHEAD,Green Solution Cannabis,"Choi, Hea Lee, Mgr
",7/14/2020,4934 50 AVENUE,,AB,T7N 1J4,7802849971.0,No 
782755,BARRHEAD,Rocky Mountain Roots,"LeGassick, Ryan Roderick, Mgr
",7/30/2021,5036 50 STREET,,AB,T7N 1A5,7806743265.0,Yes
783080,BASHAW,The Bakedery,"Brokopp, Jodie Calvin, Mgr
",1/17/2022,4912 50 STREET,,AB,T0B 0H0,7803722143.0,Yes
785365,BASSANO,Bassano Cannabis Store,"Gill, Couragedeep Singh, Mgr
",11/9/2023,417 2 AVENUE,,AB,T0J 0B0,4036412067.0,No 
779396,BEAUMONT,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",6/24/2019,116-5305 MAGASIN AVE,,AB,T4X 1V8,7807377003.0,Yes
783241,BEAUMONT,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",11/12/2021,109-6410 50 ST,,AB,T4X 0B6,7807379815.0,Yes
779413,BEAUMONT,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",12/10/2019,138-5802 50 ST,,AB,T4X 1T8,7807331291.0,Yes
783989,BEAUMONT,Pop's Cannabis Co.,"Arbuthnot, John William, Mgr
",3/31/2022,101-5003 30 AVE,,AB,T4X 1T9,7809991941.0,Yes
779747,BEAVERLODGE,Level 420,"Jolin, Dawn Lee, Mgr
",8/12/2019,202 10 STREET,,AB,T0H 0C0,7805344420.0,No 
783930,BEAVERLODGE,Plain Jane Cannabis,"Carson, Tatum Sofia L., Mgr
",8/4/2022,806 1 AVENUE,,AB,T0H 0C0,7802193567.0,No 
784152,BENTLEY,Bonfire Cannabis Inc.,"MacLean, Terrance John, Mgr
",11/29/2022,4934 50 AVENUE,,AB,T0C 2J0,5876794137.0,No 
779748,BLACK DIAMOND,Eco Green Leaf Bar,"Kapila, Sanjeev Kumar, Mgr
",7/6/2020,9-402 CENTRE AVENUE W,,AB,T0L 0H0,4039337773.0,No 
781562,BLACK DIAMOND,Enlightened Herb Cannabis,"French, Danielle Nicole, Mgr
",7/8/2020,306 GOVERNMENT ROAD,,AB,T0L 0H0,4039335323.0,Yes
781526,BLACKFALDS,Accupure Cannabis,"Ha, Jae Yub, Mgr
",5/28/2020,310-6017 PARKWOOD ROAD,,AB,T0M 0J0,5876210457.0,No 
819774,BLACKFALDS,Bargain Buds Cannabis - Blackfalds,"Seelen, Kale Joseph Alexander, Mgr
",2/11/2026,1-37 COTTONWOOD DR.,,AB,T0M 0J0,4036007770.0,No 
783903,BLACKFALDS,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",5/27/2022,620-4500 BLACKFALDS CROSSING WAY,,AB,T0M 0J0,8557476420.0,Yes
778867,BLAIRMORE,Crowsnest's Classy Joint,"Olsen, Jocelyn Gail, Mgr
",10/10/2019,12701 20 AVENUE,,AB,T0K 0E0,4035632091.0,No 
779369,BONNYVILLE,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",7/29/2019,3-5506 50 AVE,,AB,T9N 2K8,7803439639.0,Yes
782498,BONNYVILLE,Spiritleaf - Bonnyville,"Normand, Danielle Anne-Marie, Mgr
",5/27/2021,104-6608 50 AVE,,AB,T9N 0B7,7808122109.0,No 
784206,BONNYVILLE,Sunrise Cannabis Retail Ltd.,"Brinegar, Terry Verna, Mgr
",7/20/2022,102-4809 50 AVENUE,,AB,T9N 2J4,7808122331.0,No 
301945,BOW ISLAND,Almanac Grow Corp.,,1/6/2023,101-12 STREET EAST,,AB,T0K 0G0,4039095845.0,No 
783756,BOYLE,Earth to Embers,"Turner, Terryl Leigh, Mgr
",11/17/2022,4909 8 STREET S,,AB,T0A 0M0,7802139394.0,No 
785487,BRAGG CREEK,FOUR20,"Morrow, Scott Andrew, Mgr
",6/21/2023,120-7 BALSAM AVENUE,,AB,T0L 0K0,5874301600.0,Yes
800570,BROOKS,BLUETHERA BIOLOGICS INC.,"Simon, John, Mgr
",2/5/2025,239 AQUADUCT DR,,AB,T1R 1B5,7809750095.0,No 
784606,BROOKS,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/2/2022,115 2 ST E,,AB,T1R 0G9,5872704445.0,Yes
777896,BROOKS,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",4/18/2019,102 2 STREET W,,AB,T1R 0S3,5879940701.0,Yes
781961,BROOKS,Spiritleaf - Brooks,"Engel, Darren Albert, Mgr
",10/1/2020,4-715 2 ST W,,AB,T1R 1A9,5872704200.0,No 
781539,CALGARY,13th Floor Cannabis,"Kolochuk, Craig Michael, Mgr
",8/6/2020,208-8060 SILVER SPRINGS BLVD NW,,AB,T3B 5K1,4039601313.0,Yes
302066,CALGARY,2502967 Alberta Ltd.,,2/28/2025,2100-222 3 AVE SW,,AB,T2P 0B4,3039292286.0,No 
778178,CALGARY,420 Premium Market,"Morrow, Scott Andrew, Mgr
",11/5/2018,46 SAGE HILL PASS NW,,AB,T3R 0S4,4032122383.0,Yes
783148,CALGARY,All The Smoke Premium Cannabis Market,"Sidhu, Satbir Singh, Mgr
",2/4/2022,1-6219 CENTRE STREET N,,AB,T2K 0V2,4034749720.0,No 
781966,CALGARY,Bimor Cannabis,"Minhas, Navjot, Mgr
",4/20/2021,806 68 ST NE,,AB,T2A 6X7,5873536262.0,No 
810891,CALGARY,Blissful Buds,"Bedi, Emandeep Singh, Mgr
",7/31/2025,631 SHAWCLIFFE GATE SW,,AB,T2Y 1W1,4039663734.0,Yes
