Establishment Name,Address,website,phone,rating,review_count
13th Floor Cannabis,208-8060 SILVER SPRINGS BLVD NW,https://13thfloorcannabis.com/silver-springs-menu/#/menu,(403) 960-1313,4.6,109
420 Premium Market,46 SAGE HILL PASS NW,https://www.420pm.ca/bridgeland-ne-calgary,(587) 441-4200,4.3,52
All The Smoke Premium Cannabis Market,1-6219 CENTRE STREET N,http://allthesmokeyyc.com/,(403) 474-9720,4.8,175
Bimor Cannabis,806 68 ST NE,http://www.bimorcannabis.ca/,(587) 353-6262,4.4,66
Blissful Buds,631 SHAWCLIFFE GATE SW,https://www.blissful-buds.ca/,(587) 291-2950,4.8,21
Bow Cannabis,6305 BOWNESS RD NW,http://www.bowcannabis.com/,(403) 286-1190,4.5,272
Bud Bar Beltline West,806 12 AVE SW,https://budbardispensary.ca/locations/beltline-location/,(403) 453-9164,4.8,686
Bud Bar Crowfoot,838 CROWFOOT CRES NW,https://budbardispensary.ca/locations/crowfoot-location/,(825) 540-4646,4.9,525
Bud Bar on 10th St NW,100-1717 10 ST NW,https://budbardispensary.ca/locations/10-street-nw-location/,(587) 391-1906,4.9,466
Bud Bar On 14 St NW,2008 14 ST NW,https://budbardispensary.ca/locations/14-street-location/,(587) 391-1587,4.8,511
Bud Bar Stampede,101-206 11 AVE SE,https://budbardispensary.ca/locations/stampede-location/,(825) 540-4539,5.0,815
Bud Mart,1-1704 61 ST SE,https://budmartcannabis.com/,(403) 460-1122,4.9,104
Bud Mart,160-5305 COUNTRY HILLS BLVD NE,https://budmartcannabis.com/,(403) 460-1122,4.9,104
Bud Mart,148-20 COPPERPOND PASSAGE SE,https://budmartcannabis.com/,(403) 460-1122,4.9,104
Bud Mart,115-14919 DEER RIDGE DR SE,https://budmartcannabis.com/,(403) 460-1122,4.9,104
Bud Mountain Aeroponics,120-10725 74 ST SE,https://budmartcannabis.com/,(403) 460-1122,4.9,104
Budlife,1A-8607 48 AVE NW,http://www.budlifecannabis.ca/,(403) 453-1900,4.5,45
Calgary Co-op Cannabis Seton,3945 MARKET ST SE,https://www.coopcannabis.com/,(587) 391-8600,4.8,8
Canna Cabana,45-2525 BRIDLECREST WAY SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,115-8835 MACLEOD TRAIL SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,10-5308  17 AVE SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,2107 EDMONTON TRAIL NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,14-10822 50 ST SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,2-7400 MACLEOD TRAIL SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,501-7248 OGDEN RD SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,111-13 SOUTHLAND CRES SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,309-722 85 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,4600 BOWNESS ROAD NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,120-920 36 ST NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,850-19369 SHERIFF KING ST S,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,8-12 CASTLERIDGE DR NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,6110-250 EAST HILLS SQ SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,105-330 10 ST NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,116-101 SAGE VALLEY COMMON NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,1065 CANYON MEADOWS DR SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,1235 11 AVENUE SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,103-3928 EDMONTON TRAIL NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,130-5403 CROWCHILD TRAIL NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,29-240 MIDPARK WAY SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,11032A ELBOW DRIVE SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,610-20 CROWFOOT CRES NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,144-55 CASTLERIDGE BLVD NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,1535 19 ST NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,21-2500 4 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,9-2015 32 AVE NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,18-13750 BOW BOTTOM TRAIL SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,28-20 DOUGLAS WOODS DR SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,130-296 SHAWVILLE BLVD SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,110-3725 RUNDLEHORN DR NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,250-3630 BRENTWOOD RD NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,110-1935 37 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,101-624 8 AVE SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,2719 14 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Canna Cabana,130-11130 11 ST NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235
Cannabis Leaf,1-4623 BOW TRAIL SW,http://www.cannabisleafyyc.com/,(403) 457-2053,4.5,137
Celestial Buds,166-6800 MEMORIAL DRIVE NE,https://houseofsmokeandmirrors.com/,(403) 271-0998,4.4,25
Chinook Cannabis,4818 16 ST SW,http://www.chinookcanna.ca/,(403) 454-2266,4.9,79
Chinook Cannabis,4026 16 ST SW,http://www.chinookcanna.ca/,(403) 454-2266,4.9,79
Cloud 420,124-11125 38 ST NE,http://www.cloud420inc.ca/,(587) 620-9761,4.8,83
Cloud 620,120-630 REDSTONE DR NE,https://www.cloud620cannabis.ca/,(587) 483-7147,3.8,66
Cloud-520,120-180 LEGACY MAIN ST SE,https://www.cloud520cannabis.ca/,(403) 750-4002,4.1,31
Co-op Cannabis,7-8720 MACLEOD TRAIL SE,https://www.coopcannabis.com/,(587) 391-8600,4.8,8
Co-op Cannabis - Beddington,160-8220 CENTRE ST NE,https://www.coopcannabis.com/,(403) 457-1943,3.9,54
Co-op Cannabis - Oakridge,110-125 OAKMOOR PLAZA SW,https://www.coopcannabis.com/stores/Oakridge/,(403) 299-4030,3.6,25
Co-op Cannabis- Brentwood,B-4122 BRENTWOOD RD NW,https://www.coopcannabis.com/stores/brentwood/,(403) 452-2560,4.0,52
Co-op Cannabis- Crowfoot,41 CROWFOOT WAY NW,https://www.coopcannabis.com/stores/crowfoot/,(403) 453-9127,3.6,41
Co-op Cannabis- Dalhousie,B-5505 SHAGANAPPI TRAIL NW,https://www.coopcannabis.com/stores/dalhousie/,(403) 299-4028,4.4,40
Co-op Cannabis- Shawnessy,100B-250 SHAWVILLE BLVD SE,https://www.coopcannabis.com/stores/shawnessy,(403) 455-9894,3.4,29
