google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
13th Floor Cannabis Dispensary & Weed Delivery - Silver Springs,4.6,109,OPERATIONAL,"8060 Silver Springs Blvd NW #208, Calgary, AB T3B 5G6, Canada",ChIJZd23IvxpcVMRcJekJYDWkqU,13th Floor Cannabis,208-8060 SILVER SPRINGS BLVD NW
,0.0,0,,,,2502967 Alberta Ltd.,2100-222 3 AVE SW
FOUR20 Cannabis Dispensary Bridgeland,4.3,52,OPERATIONAL,"917 1 Ave NE, Calgary, AB T2E 1M2, Canada",ChIJAbB8kmllcVMRcMNq6fxiMv8,420 Premium Market,46 SAGE HILL PASS NW
All The Smoke Premium Cannabis Market YYC,4.8,175,OPERATIONAL,"6219 Centre St N, Calgary, AB T2K 0V2, Canada",ChIJnYS993JlcVMR18FPARGXqWc,All The Smoke Premium Cannabis Market,1-6219 CENTRE STREET N
Bimor Cannabis,4.4,66,OPERATIONAL,"806 68 St NE, Calgary, AB T2A 6X7, Canada",ChIJqeAENLZ7cVMRCszE-y2QWB4,Bimor Cannabis,806 68 ST NE
Blissful Buds Cannabis,4.8,21,OPERATIONAL,"631 Shawcliffe Gate SW, Calgary, AB T2Y 1W1, Canada",ChIJ6XkOo2V1cVMRTyMaIjDRBC4,Blissful Buds,631 SHAWCLIFFE GATE SW
Bow Cannabis | Bowness Cannabis Store | Calgary,4.5,272,OPERATIONAL,"6305 Bowness Rd NW, Calgary, AB T3B 0E4, Canada",ChIJeX7aWq9vcVMRkj3p5hAK4g4,Bow Cannabis,6305 BOWNESS RD NW
Bud Bar Cannabis Weed Dispensary Beltline,4.8,686,OPERATIONAL,"806 12 Ave SW, Calgary, AB T2R 0J3, Canada",ChIJ4cQY5mJvcVMRHZOt9UtWlF0,Bud Bar Beltline West,806 12 AVE SW
Bud Bar Cannabis Weed Dispensary Crowfoot,4.9,525,OPERATIONAL,"838 Crowfoot Crescent NW, Calgary, AB T3G 4S3, Canada",ChIJJVR2EJ5pcVMRl6Ypm4-ukp4,Bud Bar Crowfoot,838 CROWFOOT CRES NW
Bud Bar Cannabis Weed Dispensary 10 ST NW,4.9,466,OPERATIONAL,"1717 10 St NW, Calgary, AB T2M 4S2, Canada",ChIJfamGg59lcVMR_dAGJ48FmH8,Bud Bar on 10th St NW,100-1717 10 ST NW
