Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales,rating,review_count,business_status,lat,lng
781539,CALGARY,13th Floor Cannabis,"Kolochuk, Craig Michael, Mgr
",8/6/2020,208-8060 SILVER SPRINGS BLVD NW,,AB,T3B 5K1,4039601313.0,Yes,4.6,109,OPERATIONAL,51.1161387,-114.2055713
302066,CALGARY,2502967 Alberta Ltd.,,2/28/2025,2100-222 3 AVE SW,,AB,T2P 0B4,3039292286.0,No ,0.0,0,,51.0506614,-114.0660796
778178,CALGARY,420 Premium Market,"Morrow, Scott Andrew, Mgr
",11/5/2018,46 SAGE HILL PASS NW,,AB,T3R 0S4,4032122383.0,Yes,4.3,52,OPERATIONAL,51.1696294,-114.1466909
783148,CALGARY,All The Smoke Premium Cannabis Market,"Sidhu, Satbir Singh, Mgr
",2/4/2022,1-6219 CENTRE STREET N,,AB,T2K 0V2,4034749720.0,No ,4.8,175,OPERATIONAL,51.1078884,-114.0637858
781966,CALGARY,Bimor Cannabis,"Minhas, Navjot, Mgr
",4/20/2021,806 68 ST NE,,AB,T2A 6X7,5873536262.0,No ,4.4,66,OPERATIONAL,51.0589601,-113.9344883
810891,CALGARY,Blissful Buds,"Bedi, Emandeep Singh, Mgr
",7/31/2025,631 SHAWCLIFFE GATE SW,,AB,T2Y 1W1,4039663734.0,Yes,4.8,21,OPERATIONAL,50.9112215,-114.0749121
809623,CALGARY,Bow Cannabis,"Ramadan, Jamal Andrew, Mgr
",12/18/2024,6305 BOWNESS RD NW,,AB,T3B 0E4,4032861190.0,Yes,4.5,272,OPERATIONAL,51.0848368,-114.1787106
803154,CALGARY,Bud Bar Beltline West,"Woo, Justin Clay H., Mgr
",6/7/2024,806 12 AVE SW,,AB,T2R 0J3,4034539164.0,Yes,4.8,686,OPERATIONAL,51.0420677,-114.0794865
783183,CALGARY,Bud Bar Crowfoot,"Woo, Justin Clay H., Mgr
",10/15/2021,838 CROWFOOT CRES NW,,AB,T3G 4S3,8255404645.0,Yes,4.9,525,OPERATIONAL,51.1268729,-114.2068957
783034,CALGARY,Bud Bar on 10th St NW,"Woo, Justin Clay H., Mgr
",5/15/2021,100-1717 10 ST NW,,AB,T2M 4S2,5873911906.0,Yes,4.9,466,OPERATIONAL,51.0676585,-114.0853355
783035,CALGARY,Bud Bar On 14 St NW,"Woo, Justin Clay H., Mgr
",5/15/2021,2008 14 ST NW,,AB,T2M 3N3,5873911587.0,Yes,4.8,511,OPERATIONAL,51.0702586,-114.0942248
782591,CALGARY,Bud Bar Stampede,"Woo, Justin Clay H., Mgr
",8/10/2021,101-206 11 AVE SE,,AB,T2G 0X8,8255404539.0,Yes,5.0,815,OPERATIONAL,51.0423888,-114.0603958
802723,CALGARY,Bud Mart,,6/6/2024,1-1704 61 ST SE,,AB,T2A 4V5,4038996313.0,Yes,4.9,104,OPERATIONAL,51.0385715,-113.9422005
812581,CALGARY,Bud Mountain Aeroponics,"Cowan, Kevin Brandon, Mgr
",9/10/2025,120-10725 74 ST SE,,AB,T2C 5P5,4038376972.0,No ,4.9,104,OPERATIONAL,50.9600303,-113.9266047
785122,CALGARY,Budlife,"Chaudry, Mainul, Mgr
",10/6/2023,1A-8607 48 AVE NW,,AB,T3B 2B3,5878961800.0,Yes,4.5,45,OPERATIONAL,51.09557909999999,-114.2115228
813136,CALGARY,Calgary Co-op Cannabis Seton,"Moncrieff, Levi Lawrence, Mgr
",11/4/2025,3945 MARKET ST SE,,AB,T3M 2W9,5873910880.0,Yes,4.8,8,OPERATIONAL,50.87958920000001,-113.9527062
