fsa,store_count,avg_rating,total_reviews,avg_reviews,saturation_score,opportunity_score
T2L,1,4.0,52,52.0,0.8,10.0
T2P,3,1.47,212,70.66666666666667,2.5,10.0
T2W,1,4.3,99,99.0,0.8,9.9
T2S,1,4.5,154,154.0,0.8,9.7
T3C,1,4.5,137,137.0,0.8,9.7
T3H,3,2.9,256,85.33333333333333,2.5,9.6
T2B,2,4.2,303,151.5,1.7,9.1
T2N,2,4.45,102,51.0,1.7,8.9
T2R,2,4.8,745,372.5,1.7,8.5
T2J,3,4.1,435,145.0,2.5,8.4
T2V,3,4.27,196,65.33333333333333,2.5,8.2
T3G,3,4.33,629,209.66666666666666,2.5,8.2
T2Z,3,4.27,342,114.0,2.5,8.2
T2X,3,4.3,238,79.33333333333333,2.5,8.2
T1Y,3,4.47,267,89.0,2.5,8.0
T3R,3,4.47,222,74.0,2.5,8.0
T2K,3,4.63,538,179.33333333333334,2.5,7.9
T2M,3,4.83,1137,379.0,2.5,7.7
T2Y,4,4.32,387,96.75,3.3,7.4
T3K,4,4.42,564,141.0,3.3,7.3
T3A,4,4.53,282,70.5,3.3,7.2
T2H,4,4.58,404,101.0,3.3,7.1
T3M,4,4.58,231,57.75,3.3,7.1
T2C,4,4.75,518,129.5,3.3,7.0
T3P,4,4.78,613,153.25,3.3,6.9
T2G,4,4.8,1026,256.5,3.3,6.9
T3E,5,4.5,672,134.4,4.2,6.3
T2T,5,4.64,675,135.0,4.2,6.2
T3J,5,4.8,712,142.4,4.2,6.0
T3N,6,4.42,477,79.5,5.0,5.6
T2A,7,4.39,494,70.57142857142857,5.8,4.8
T3B,9,4.56,1029,114.33333333333333,7.5,2.9
T2E,12,4.65,1252,104.33333333333333,10.0,1.0
