google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
127 St Cannabis Queen,4.9,78,OPERATIONAL,"12621 121 Ave NW, Edmonton, AB T5L 4T6, Canada",ChIJNxZJHx4joFMRCRGGe41zUwc,127 ST Cannabis Queen,12621 121 AVE NW
,0.0,0,,,,ANC Inc.,6914 34 ST NW
Aurora,4.1,276,OPERATIONAL,"8882 170 St NW #1388, Edmonton, AB T5T 4V4, Canada",ChIJMwTgxCwhoFMR-ZFnfIBA1-A,Aurora Cannabis,1338-184-8882 170 STREET NW
Aurora,4.1,276,OPERATIONAL,"8882 170 St NW #1388, Edmonton, AB T5T 4V4, Canada",ChIJMwTgxCwhoFMR-ZFnfIBA1-A,Aurora Cannabis Enterprises Inc.,500-10355 JASPER AVENUE NW
Bobo's Budz,4.3,57,OPERATIONAL,"12451 97 St NW, Edmonton, AB T5G 1Z6, Canada",ChIJp3B8rEAjoFMRnC2n1QBlcpA,Bobo's Budz,12451 97 ST NW
Hey Bud,5.0,4,OPERATIONAL,"5015 118 Ave NW, Edmonton, AB T5W 1B7, Canada",ChIJhcufjyo9oFMRavwRhdxrTLI,Bubble Bud,15353 114 AVENUE NW
Buzz Leaf Cannabis,0.0,0,OPERATIONAL,"16118 Stony Plain Rd, Edmonton, AB T5P 4A2, Canada",ChIJv_L2Q18hoFMRafz8OH9x2xE,BuzzLeaf Cannabis,16118 STONY PLAIN RD NW
Canna Vibes,4.7,64,OPERATIONAL,"10459 124 St, Edmonton, AB T5N 1R7, Canada",ChIJ3YrhdQcjoFMRtAOe1Ezq33A,Canna 124 Vibes,10459 124 ST NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,10828 124 ST NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,4-16952 111 AVE NW
