Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales,rating,review_count,business_status,lat,lng
780801,EDMONTON,127 ST Cannabis Queen,"Dhillon, Amarjeetsingh Gurudayalsingh, Mgr
",5/19/2020,12621 121 AVE NW,,AB,T5L 4T6,7804529449.0,No ,4.9,78,OPERATIONAL,53.574967,-113.540896
809643,EDMONTON,ANC Inc.,"Clarke, James Brian, Mgr
",12/18/2024,6914 34 ST NW,,AB,T6B 2X2,7808092828.0,No ,0.0,0,,53.5060786,-113.3953644
778358,EDMONTON,Aurora Cannabis,"Hoover, Geoffrey Lee Jonathan, Mgr
",10/24/2019,1338-184-8882 170 STREET NW,,AB,T5T 4J2,7805408119.0,No ,4.1,276,OPERATIONAL,53.5221441,-113.6185465
301164,EDMONTON,Aurora Cannabis Enterprises Inc.,,10/17/2018,500-10355 JASPER AVENUE NW,,AB,T5J 1Y6,6043392238.0,No ,4.1,276,OPERATIONAL,53.54067,-113.4989658
784984,EDMONTON,Bobo's Budz,"Nath, Reshial Restika, Mgr
",6/29/2023,12451 97 ST NW,,AB,T5G 1Z6,5874981417.0,No ,4.3,57,OPERATIONAL,53.5807052,-113.4914011
302040,EDMONTON,Bubble Bud,"Hanton, Callum Ellis, Mgr
",3/24/2023,15353 114 AVENUE NW,,AB,T5M 3S9,7802540073.0,No ,5.0,4,OPERATIONAL,53.5626364,-113.5864987
815948,EDMONTON,BuzzLeaf Cannabis,"Singh, Amritpal, Mgr
",2/10/2026,16118 STONY PLAIN RD NW,,AB,T5P 4A2,6479855290.0,No ,0.0,0,OPERATIONAL,53.5416019,-113.6000887
807078,EDMONTON,Canna 124 Vibes,"Sogy, Sandeep, Mgr
",2/4/2025,10459 124 ST NW,,AB,T5N 1R7,5877085669.0,No ,4.7,64,OPERATIONAL,53.5476746,-113.5357371
778413,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",11/13/2018,10828 124 ST NW,,AB,T5M 0H3,7807583700.0,Yes,4.5,878,OPERATIONAL,53.5534234,-113.5362671
782818,EDMONTON,Cannabacee The Hemp House,"Sarpal, Nitin, Mgr
",7/14/2021,6111 28 AVE NW,,AB,T6L 6N5,7802443432.0,No ,4.3,31,OPERATIONAL,53.4587796,-113.4272891
785312,EDMONTON,Cannabis 82,"Dhiman, Sahil, Mgr
",1/9/2024,8118 82 AVENUE NW,,AB,T6C 0Y4,7808020657.0,No ,4.7,98,OPERATIONAL,53.5183478,-113.4538076
783232,EDMONTON,Cannabis Cellar Callingwood,"Zimmerman, Douglas Harold, Mgr
",7/15/2021,6813 177 ST NW,,AB,T5T 4K3,7802443337.0,Yes,4.7,88,OPERATIONAL,53.5031371,-113.6254713
782237,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",5/26/2021,3516 EWING TRAIL SW,,AB,T6X 2X6,7802445875.0,Yes,4.0,83,OPERATIONAL,53.4011583,-113.491443
808277,EDMONTON,Cannabis House,,5/9/2025,12743 VICTORIA  TRAIL NW,,AB,T5A 4T6,5874902861.0,No ,4.7,15,OPERATIONAL,53.5806011,-113.3817232
784323,EDMONTON,Cannabis Life,"Yisak, Yoseph Teklit, Mgr
",2/10/2023,9329 156 ST NW,,AB,T5R 1Z5,5874896432.0,No ,4.8,60,OPERATIONAL,53.5294687,-113.590011
805259,EDMONTON,Cannabis Revolution,"Williams, Jeffrey Gerald, Mgr
",9/30/2024,8062 167 AVE NW,,AB,T5Z 0E5,7804065720.0,No ,4.3,23,OPERATIONAL,53.6293119,-113.4656611
785327,EDMONTON,Cannabis Spot,"Mehari, Mikias, Mgr
",7/5/2023,6914 77 ST NW,,AB,T6E 6V2,8252033697.0,No ,4.8,36,OPERATIONAL,53.506359,-113.444886
782548,EDMONTON,Cannabis Station,"Bouzetos, Angeliki, Mgr
",6/29/2021,187A-1 BONNIE DOON SHOPPING CENTRE NW,,AB,T6C 4E3,7807571148.0,No ,3.5,92,OPERATIONAL,53.5201498,-113.4565513
784533,EDMONTON,Cannabis World,"Baraich, Hardeep Singh, Mgr
",2/6/2023,3385 28A AVE NW,,AB,T6T 0P9,7807575515.0,No ,4.8,60,OPERATIONAL,53.4588686,-113.39338
782499,EDMONTON,Crest Cannabis Castle,"Singh, Parminder, Mgr
",10/28/2021,101-3412 118 AVE NW,,AB,T5W 0Z4,7807054434.0,No ,4.2,57,OPERATIONAL,53.57088359999999,-113.3950605
