fsa,store_count,avg_rating,total_reviews,avg_reviews,saturation_score,opportunity_score
T6H,1,3.8,59,59.0,1.2,10.0
T6G,1,3.8,92,92.0,1.2,10.0
T5C,1,3.9,120,120.0,1.2,9.9
T6K,1,4.4,61,61.0,1.2,9.4
T5E,1,4.4,203,203.0,1.2,9.4
T6A,1,4.4,129,129.0,1.2,9.4
T5B,1,4.6,154,154.0,1.2,9.2
T5S,1,5.0,2,2.0,1.2,8.8
T5J,2,4.0,295,147.5,2.5,8.5
T6R,2,4.0,169,84.5,2.5,8.5
T6C,2,4.1,190,95.0,2.5,8.4
T6T,2,4.35,216,108.0,2.5,8.2
T5Z,2,4.25,490,245.0,2.5,8.2
T5K,2,4.25,164,82.0,2.5,8.2
T6M,2,4.4,256,128.0,2.5,8.1
T5H,2,4.7,208,104.0,2.5,7.8
T6L,3,4.17,719,239.66666666666666,3.8,7.0
T6X,3,4.3,403,134.33333333333334,3.8,6.9
T6B,4,3.25,153,38.25,5.0,6.8
T6V,3,4.43,437,145.66666666666666,3.8,6.8
T5P,4,3.3,897,224.25,5.0,6.7
T5N,3,4.47,792,264.0,3.8,6.7
T5R,3,4.63,273,91.0,3.8,6.6
T5W,4,4.08,295,73.75,5.0,5.9
T5T,4,4.42,620,155.0,5.0,5.6
T5Y,4,4.53,404,101.0,5.0,5.5
T5G,4,4.45,775,193.75,5.0,5.5
T6J,4,4.7,1487,371.75,5.0,5.3
T5M,4,4.75,1128,282.0,5.0,5.2
T5A,5,4.5,647,129.4,6.2,4.3
T6W,6,4.33,749,124.83333333333333,7.5,3.2
T6E,7,3.69,997,142.42857142857142,8.8,2.5
T5L,8,4.5,1004,125.5,10.0,1.0
