Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales
780801,EDMONTON,127 ST Cannabis Queen,"Dhillon, Amarjeetsingh Gurudayalsingh, Mgr
",5/19/2020,12621 121 AVE NW,,AB,T5L 4T6,7804529449.0,No 
809643,EDMONTON,ANC Inc.,"Clarke, James Brian, Mgr
",12/18/2024,6914 34 ST NW,,AB,T6B 2X2,7808092828.0,No 
778358,EDMONTON,Aurora Cannabis,"Hoover, Geoffrey Lee Jonathan, Mgr
",10/24/2019,1338-184-8882 170 STREET NW,,AB,T5T 4J2,7805408119.0,No 
301164,EDMONTON,Aurora Cannabis Enterprises Inc.,,10/17/2018,500-10355 JASPER AVENUE NW,,AB,T5J 1Y6,6043392238.0,No 
784984,EDMONTON,Bobo's Budz,"Nath, Reshial Restika, Mgr
",6/29/2023,12451 97 ST NW,,AB,T5G 1Z6,5874981417.0,No 
302040,EDMONTON,Bubble Bud,"Hanton, Callum Ellis, Mgr
",3/24/2023,15353 114 AVENUE NW,,AB,T5M 3S9,7802540073.0,No 
815948,EDMONTON,BuzzLeaf Cannabis,"Singh, Amritpal, Mgr
",2/10/2026,16118 STONY PLAIN RD NW,,AB,T5P 4A2,6479855290.0,No 
807078,EDMONTON,Canna 124 Vibes,"Sogy, Sandeep, Mgr
",2/4/2025,10459 124 ST NW,,AB,T5N 1R7,5877085669.0,No 
778413,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",11/13/2018,10828 124 ST NW,,AB,T5M 0H3,7807583700.0,Yes
778892,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",6/17/2019,4-16952 111 AVE NW,,AB,T5M 4C9,7807604207.0,Yes
782217,EDMONTON,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,30-12981 50 ST NW,,AB,T5A 3P3,7807848082.0,Yes
781425,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",2/24/2022,8927L 82 AVENUE,,AB,T6C 0Z2,8254804087.0,Yes
782223,EDMONTON,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,9522 ELLERSLIE RD SW,,AB,T6X 0K6,7807848087.0,Yes
779365,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",8/6/2019,101-3342 PARSONS RD NW,,AB,T6N 1B5,7802504043.0,Yes
785063,EDMONTON,Canna Cabana,"Wheeler, Ethan James, Mgr
",4/14/2023,10573 114 ST NW,,AB,T5H 3J6,5876356200.0,Yes
781356,EDMONTON,Canna Cabana,"Jimenez, Jan Michael A, Mgr
",4/6/2020,10275 JASPER AVE NW,,AB,T5J 1X8,5875215286.0,Yes
782221,EDMONTON,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/18/2020,102-8721 156 ST NW,,AB,T5R 1Y5,7807848092.0,Yes
782818,EDMONTON,Cannabacee The Hemp House,"Sarpal, Nitin, Mgr
",7/14/2021,6111 28 AVE NW,,AB,T6L 6N5,7802443432.0,No 
