"year_month","product_type","unpackaged_inventory_units","packaged_production_units","packaged_inventory_units_federal_lh","packaged_inventory_units_prov_distributors_retailers","sales_medical_units","sales_non_medical_units","unpackaged_production_kg","unpackaged_inventory_kg","packaged_production_kg","packaged_inventory_kg_federal_lh","packaged_inventory_kg_prov_distributors_retailers","sales_medical_kg","sales_non_medical_kg"
"2025-04","edible cannabis / cannabis comestible","n/a / n/d","7205292","14750928","9312547.50153323","493624","5496587","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-05","edible cannabis / cannabis comestible","n/a / n/d","6873161","14714111","9698327.47039234","505736","5479196","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-06","edible cannabis / cannabis comestible","n/a / n/d","6183744","14614403","10152620.6298331","519989","5958554","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-07","edible cannabis / cannabis comestible","n/a / n/d","6809111","14442320","10364507.5224685","560775","5980752","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-08","edible cannabis / cannabis comestible","n/a / n/d","6282906","13015153","10148763.8104664","518331","5971492","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-09","edible cannabis / cannabis comestible","n/a / n/d","7015777","13282557","10204954.6980613","534645","5579621","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","61513","665145","145804.217955808","44319","45440","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","92943","402527","144321.463520852","48643","44034","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","86012","406547","148897.597532803","47454","46800","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","71671","397204","151515.043488809","47299","42279","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
